feature,importance_mean,importance_std,is_new
qte_roll_mean_7,0.2543459879657825,0.0053202096530533555,True
qte_roll_mean_30_article,0.11030634682640159,0.0033680715856618335,True
qte_roll_mean_30,0.06723908322422152,0.0017386457817517526,True
qte_roll_mean_30_client,0.05291813280828552,0.0005211334390849113,True
qte_roll_mean_90,0.04136546983478664,0.0012660614049672977,True
te_article,0.02227211375354656,0.0010803915969071084,True
qte_lag_1,0.01640641780311607,0.0002794493086404575,True
prix,0.015379569128978065,0.0006865163015352622,False
prix_lag_1,0.01176151435428916,0.0010267332699745255,True
qte_roll_std_30_article,0.010799058211240853,0.0004976265683630526,True
qte_roll_std_30_client,0.009241645897294325,0.00032633470699197707,True
te_couple,0.009224173218156162,0.0010598157440863468,True
cumul_qte_annee,0.007262900916595183,0.0005326052844578708,True
code_client_freq,0.0060977975638871525,0.0005023578699513446,False
te_client,0.005690541410931438,0.00033426296568333597,True
delai_demande_jours,0.00568616660253185,0.0008391409200123976,False
type_activite_enc,0.0050142348569987005,0.0009281477312777146,False
nb_cmd_30j_couple,0.004323748414148798,0.00043516153575841934,True
code_article_freq,0.003931957573897482,0.0003079003751687692,False
prix_delta_pct,0.0035536020984266335,0.0004435620072586454,True
nb_jours_depuis_derniere_cmd,0.0034585625391345244,0.00039182644922247905,True
pays_enc,0.003230247928083396,0.00039849534581996637,False
qte_roll_std_30,0.0028447044790384625,0.00048490649208264287,True
segment_enc,0.001360055476214672,0.0003166044261811279,False
qte_lag_7,0.0009940026099170662,8.436589325232106e-05,True
semaine_cmd,0.000645434394022204,0.00020594726267748352,False
devise_enc,0.00027232028723451763,0.00010227489145781473,False
famille_activite_client_enc,0.00025695572052970573,4.176857274429833e-05,False
qte_lag_30,0.0002450518908707622,3.7293256524862215e-05,True
mois_cmd,8.267996102242491e-05,4.794319179192916e-05,False
est_periode_peak_liv_dem,4.387118872568596e-05,1.3362736379216185e-05,False
jour_semaine_cmd,4.20389577269864e-05,5.1472360340843865e-05,False
temp_min_liv_dem,3.127913926808113e-05,5.575127636740672e-05,False
famille_activite_article_enc,2.6410936153675734e-05,8.168493930543785e-06,False
est_fin_mois_cmd,2.57154825968664e-05,2.8071568631980945e-05,False
est_jour_ferie_liv_dem,6.343693152888186e-06,1.1322725982890344e-06,False
trimestre_cmd,3.7723205205786313e-06,3.8031021752822276e-06,False
annee_cmd,0.0,0.0,False
est_periode_covid,0.0,0.0,False
est_weekend_liv_dem,-3.290840711489551e-07,8.598259617684971e-07,False
est_jour_ferie_cmd,-6.273749987295574e-07,0.0,False
statut_enc,-1.2191291055385633e-05,4.381621868207275e-06,False
vent_max_kmh_liv_dem,-3.528273077870736e-05,6.757599462088796e-05,False
pluie_mm_liv_dem,-4.8343617802237836e-05,0.00023303924068329918,False
ipi_valeur,-5.135958733826218e-05,3.689398944557792e-05,False
est_vacances_scolaires_liv_dem,-7.648515924840726e-05,3.692371829941807e-05,False
jour_semaine_liv_dem,-8.933901660759246e-05,9.993516367446096e-05,False
